sym,strategy,contract,fold,train_start,train_end,test_start,test_end,best_params,is_sharpe,is_return_pct,is_trades,oos_sharpe,oos_return_pct,oos_max_dd_pct,oos_trades
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,8,2009-10-20,2011-09-20,2011-09-20,2012-05-27,"{'fast_window': 10, 'slow_window': 40}",1.0442974971157895,13.041705499999988,13,-0.8278133780089645,-2.394233000000001,-4.929167534627731,7
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,9,2010-06-27,2012-05-27,2012-05-27,2013-02-01,"{'fast_window': 20, 'slow_window': 60}",0.361949435439785,3.8819605000000035,9,0.9869336135977577,1.036122500000003,-1.1939407238503927,3
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,10,2011-03-04,2013-02-01,2013-02-01,2013-10-09,"{'fast_window': 10, 'slow_window': 60}",0.48948907356596744,5.147336250000012,13,-0.2397762703988444,-0.22624675000000316,-1.0843208343894581,1
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,11,2011-11-09,2013-10-09,2013-10-09,2014-06-16,"{'fast_window': 10, 'slow_window': 60}",0.3437708038869372,2.5408712499999986,11,0.6548233384622495,1.3987812499999919,-2.437283915467595,1
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,12,2012-07-16,2014-06-16,2014-06-16,2015-02-21,"{'fast_window': 20, 'slow_window': 100}",0.24299321528631895,1.6565912499999946,11,0.0,0.0,0.0,0
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,13,2013-03-23,2015-02-21,2015-02-21,2015-10-29,"{'fast_window': 30, 'slow_window': 60}",0.7965402512843068,4.876710250000005,11,0.5738933869292978,1.280285499999989,-1.5102053002898328,5
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,14,2013-11-28,2015-10-29,2015-10-29,2016-07-05,"{'fast_window': 30, 'slow_window': 40}",0.7023057462267344,4.951274499999991,13,1.5307231026591124,2.6389610000000063,-1.302796150947173,7
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,15,2014-08-05,2016-07-05,2016-07-05,2017-03-12,"{'fast_window': 30, 'slow_window': 40}",0.5641591544079824,3.3445932500000053,17,1.0034476996932753,3.389594500000004,-2.6189962844502235,5
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,16,2015-04-12,2017-03-12,2017-03-12,2017-11-17,"{'fast_window': 30, 'slow_window': 40}",0.6606895558945072,4.855608499999997,21,1.6090348008111135,3.5536412499999948,-1.9234694377971646,5
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,17,2015-12-18,2017-11-17,2017-11-17,2018-07-25,"{'fast_window': 30, 'slow_window': 40}",1.1283003602314894,8.669675750000017,19,-0.6207383877874622,-1.3960057499999956,-3.1787989718839547,5
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,18,2016-08-24,2018-07-25,2018-07-25,2019-04-01,"{'fast_window': 10, 'slow_window': 60}",0.0749425427063194,0.46652325000000605,11,0.0013469928495674095,0.0014682500000029464,-1.4459558627529556,3
